UUID OLD (ILCD 2016),uuid_ecoinvent37
c51b87b1-27a1-45d7-809b-995d28183cd2,db4566b1-bd88-427d-92da-2d25879063b9
c733e05a-0ace-4795-bd40-c49d7d06fe5e,db4566b1-bd88-427d-92da-2d25879063b9
c82c7d1b-db8f-407f-9112-ff604fdb7a5d,db4566b1-bd88-427d-92da-2d25879063b9
c9045c23-fb26-442e-ba9f-4ec43e12ff99,db4566b1-bd88-427d-92da-2d25879063b9
c91cba2c-af4a-4332-b5fe-74713d796ffa,db4566b1-bd88-427d-92da-2d25879063b9
c99712c5-6b27-4764-801b-30aafe4966da,db4566b1-bd88-427d-92da-2d25879063b9
ca1e28f2-c0d0-4719-b583-a5fc9ce1cce2,db4566b1-bd88-427d-92da-2d25879063b9
ce0c11f0-3671-4dbc-80bd-deb0b7dab453,db4566b1-bd88-427d-92da-2d25879063b9
cec9ffb2-0bef-45e6-894b-293304755402,db4566b1-bd88-427d-92da-2d25879063b9
d1f1ecaa-ed09-41d0-bda2-ef95462348ab,db4566b1-bd88-427d-92da-2d25879063b9
d6cb71cc-706a-4408-9871-51a87963de5d,db4566b1-bd88-427d-92da-2d25879063b9
d7b06eea-2f9e-4cc2-96b6-18d4555b7bf0,db4566b1-bd88-427d-92da-2d25879063b9
d7b71f21-123e-4c23-88f1-22e9d4d178b5,db4566b1-bd88-427d-92da-2d25879063b9
d81b5a59-e373-4600-b59d-61de40eb592c,db4566b1-bd88-427d-92da-2d25879063b9
d87facd2-fbef-42d0-83ca-5bd260a8ca1a,db4566b1-bd88-427d-92da-2d25879063b9
d9c02003-adc6-4136-8d1c-54123c677aa7,db4566b1-bd88-427d-92da-2d25879063b9
dc05d847-811c-4f28-aa0c-928c3d9adc60,db4566b1-bd88-427d-92da-2d25879063b9
dc41006a-53e4-4fea-a986-4f843c975ada,db4566b1-bd88-427d-92da-2d25879063b9
dce61e75-69fa-41e7-ab19-212e4da7bd0c,db4566b1-bd88-427d-92da-2d25879063b9
e1058a9c-3d22-40ef-a5f9-af51fa26addd,db4566b1-bd88-427d-92da-2d25879063b9
e1c46433-0ff6-4206-9e8d-8a28ffa08aa9,db4566b1-bd88-427d-92da-2d25879063b9
e1ce68c8-b976-43b9-a4af-4fd3227716f1,db4566b1-bd88-427d-92da-2d25879063b9
e2e0c2c8-df4d-48a7-befd-a558c368aba0,db4566b1-bd88-427d-92da-2d25879063b9
e4649f74-a074-41f9-aa78-11c201c7ad31,db4566b1-bd88-427d-92da-2d25879063b9
e59a9ffa-faba-4be0-8f34-c45e73f94842,db4566b1-bd88-427d-92da-2d25879063b9
e6f9a003-b297-4f1e-bc23-a8f625053b98,db4566b1-bd88-427d-92da-2d25879063b9
e7b97e2f-5d53-48fa-a5b0-c7c0bf8c4a27,db4566b1-bd88-427d-92da-2d25879063b9
e8429f35-6c36-49c3-8c0f-5bc672e93a37,db4566b1-bd88-427d-92da-2d25879063b9
e8d69262-2e79-4122-9da8-fd9328da8d6b,db4566b1-bd88-427d-92da-2d25879063b9
e9a1ce72-ac7c-42b9-afd3-59283ad81ddb,db4566b1-bd88-427d-92da-2d25879063b9
ea3481de-8488-4f82-92ce-09f1b52e70fc,db4566b1-bd88-427d-92da-2d25879063b9
ea7e0ecf-a549-4ed4-a3dd-ba55e51a8c79,db4566b1-bd88-427d-92da-2d25879063b9
eaa0ce7e-46a9-4ac2-ae07-2a893dbab14a,db4566b1-bd88-427d-92da-2d25879063b9
f37bf3f3-c8ab-4652-8f1f-46ae39f80946,db4566b1-bd88-427d-92da-2d25879063b9
f65b17e9-bdbb-4f3e-9e7e-94e20db046a9,db4566b1-bd88-427d-92da-2d25879063b9
f7f7f792-5e64-40c3-8a9a-7a73c0e347f9,db4566b1-bd88-427d-92da-2d25879063b9
fa65642e-c625-40d2-a1b4-bde55a9e7f08,db4566b1-bd88-427d-92da-2d25879063b9
008e406f-97a7-4823-a68d-0bd2c415ee72,
00a1aa9f-2693-4272-bf30-8f34704fcdb7,d380bac0-e4c5-430a-b75f-ace6b50a3e30
00a23df6-190a-47f7-9430-3798bb24eb95,3b8a6f65-384b-4086-a817-b0c77555b78a
00c5e2ab-2e95-497d-be89-249424e76550,8c1494a5-4987-4715-aa2d-1908c495f4eb
027a5004-b294-4a31-88e4-f0291dab5deb,8c1494a5-4987-4715-aa2d-1908c495f4eb
0496818a-0cac-4787-b9c2-c89ef6c38f45,8c1494a5-4987-4715-aa2d-1908c495f4eb
04d4ba5d-b981-4e22-985d-c8f4285211e9,8c1494a5-4987-4715-aa2d-1908c495f4eb
079c2146-df45-4139-9c9b-8137276bb6c3,8c1494a5-4987-4715-aa2d-1908c495f4eb
09fda549-41c6-4ab0-b218-afbb3178e717,8c1494a5-4987-4715-aa2d-1908c495f4eb
0a97dec7-f321-4a51-a7b2-43a1df894f6a,8c1494a5-4987-4715-aa2d-1908c495f4eb
0ba9f9fc-7a18-4260-a5b7-23ced78d95f3,8c1494a5-4987-4715-aa2d-1908c495f4eb
0d5556e4-8bce-433a-bb0f-32557ae0d9ee,8c1494a5-4987-4715-aa2d-1908c495f4eb
104507eb-644d-4ea5-b711-2da424908613,8c1494a5-4987-4715-aa2d-1908c495f4eb
13f10e8a-2191-419a-9927-375538971c87,8c1494a5-4987-4715-aa2d-1908c495f4eb
14ce59ba-ea10-45cc-bbea-3fcf7f2df78f,8c1494a5-4987-4715-aa2d-1908c495f4eb
23cff606-5ad2-4207-804a-de85a9430146,8c1494a5-4987-4715-aa2d-1908c495f4eb
2434e394-aafe-4eb0-93df-d109fdb4be58,8c1494a5-4987-4715-aa2d-1908c495f4eb
271f1867-399b-4996-8a5d-b9fd3af08409,8c1494a5-4987-4715-aa2d-1908c495f4eb
2abf6921-ecb1-4c39-bb0e-86edea3d8afd,8c1494a5-4987-4715-aa2d-1908c495f4eb
2d5ca6be-5b7e-4f1a-81b4-334cda8bcbf4,8c1494a5-4987-4715-aa2d-1908c495f4eb
2dc20649-05db-4931-9e43-6c554203f2ee,8c1494a5-4987-4715-aa2d-1908c495f4eb
2dcc9dc2-3556-4fa4-94a1-5c89edbda6ad,8c1494a5-4987-4715-aa2d-1908c495f4eb
30532306-fec0-499c-a967-055e58b113c2,8c1494a5-4987-4715-aa2d-1908c495f4eb
3059ff54-0cf5-4055-b90c-6e8748a68832,8c1494a5-4987-4715-aa2d-1908c495f4eb
31efd40f-4161-47e4-ad90-b70ec043fce2,8c1494a5-4987-4715-aa2d-1908c495f4eb
327479e1-da0e-42a5-8169-bde72ff7b3a9,8c1494a5-4987-4715-aa2d-1908c495f4eb
34740738-2d33-45f7-b89d-0c7c75fff830,8c1494a5-4987-4715-aa2d-1908c495f4eb
34fabe65-745b-4490-b747-8f56f8822dca,8c1494a5-4987-4715-aa2d-1908c495f4eb
36dfb8d5-07ad-4c32-9b81-295cd59d457a,8c1494a5-4987-4715-aa2d-1908c495f4eb
38711533-77b8-4329-ada0-5f4d4b779833,8c1494a5-4987-4715-aa2d-1908c495f4eb
39265a86-010a-4009-af81-936959052322,8c1494a5-4987-4715-aa2d-1908c495f4eb
3a6cda2e-8f26-4c99-8590-ed0da69c0450,8c1494a5-4987-4715-aa2d-1908c495f4eb
3c96eb2b-ca64-4943-aea0-10256798aeb6,8c1494a5-4987-4715-aa2d-1908c495f4eb
3c98c839-5410-41f4-9d35-f2a9ac190fd1,8c1494a5-4987-4715-aa2d-1908c495f4eb
3f5b72ce-5a5f-42e6-8cdd-dd9c76b3dd31,8c1494a5-4987-4715-aa2d-1908c495f4eb
3f658888-51e2-433f-9f27-37bf9f700001,8c1494a5-4987-4715-aa2d-1908c495f4eb
4434cfd8-add5-42c5-9f8d-935f4bac5134,8c1494a5-4987-4715-aa2d-1908c495f4eb
44f90511-7ab8-4d2d-aed9-3218f28cf46e,8c1494a5-4987-4715-aa2d-1908c495f4eb
452dab97-c575-478a-b8bd-ea5082181e00,8c1494a5-4987-4715-aa2d-1908c495f4eb
454068c2-cb3d-4f56-969a-7efd84501bc6,8c1494a5-4987-4715-aa2d-1908c495f4eb
45715179-6d63-4325-a752-34b6d1aa378e,8c1494a5-4987-4715-aa2d-1908c495f4eb
473040eb-fd40-4928-ba25-bf1333e61b44,8c1494a5-4987-4715-aa2d-1908c495f4eb
499aa3a1-67c3-4116-93af-e90593c37a70,8c1494a5-4987-4715-aa2d-1908c495f4eb
4bd39243-bb9e-48b3-bcd1-d296438a30e4,8c1494a5-4987-4715-aa2d-1908c495f4eb
4da7001c-87c5-40db-a4ca-30653add92a9,8c1494a5-4987-4715-aa2d-1908c495f4eb
4f622e02-be73-472c-98ae-ebb9c0f0ca20,8c1494a5-4987-4715-aa2d-1908c495f4eb
50cb7dd1-70f9-4d18-a6ee-d2120ddb1c87,8c1494a5-4987-4715-aa2d-1908c495f4eb
51f861b1-607f-4d4c-9fd3-d2f1bd11c631,8c1494a5-4987-4715-aa2d-1908c495f4eb
53b803f3-fe8c-4671-8328-b47bf54fe698,8c1494a5-4987-4715-aa2d-1908c495f4eb
5414d1e2-3323-4436-a09e-38a8f122ab14,8c1494a5-4987-4715-aa2d-1908c495f4eb
54b0c8e4-52ed-4eb1-b719-eb277f8f089e,8c1494a5-4987-4715-aa2d-1908c495f4eb
564cf3a2-3600-438a-9e2f-99412fb29649,8c1494a5-4987-4715-aa2d-1908c495f4eb
567654ea-2369-41ba-b217-720215d611f0,8c1494a5-4987-4715-aa2d-1908c495f4eb
58b02897-a5ab-4c6b-9acf-b3e7267548d0,8c1494a5-4987-4715-aa2d-1908c495f4eb
5a8399f7-ea08-4667-bf0d-e32915cb684c,8c1494a5-4987-4715-aa2d-1908c495f4eb
5b14d304-5744-4be1-9e0a-880ae9d10fa0,8c1494a5-4987-4715-aa2d-1908c495f4eb
5bb193b9-a890-4d92-ad02-69d9a0e94f30,8c1494a5-4987-4715-aa2d-1908c495f4eb
5c393154-276c-4e0e-844b-bc45b12313c1,8c1494a5-4987-4715-aa2d-1908c495f4eb
5e273d98-9d59-488d-bd5b-cb486d8e7603,8c1494a5-4987-4715-aa2d-1908c495f4eb
601bf35c-17ce-4471-a4b7-9323d1013218,8c1494a5-4987-4715-aa2d-1908c495f4eb
6576bcbb-0717-4809-8d3a-ea193700deaa,8c1494a5-4987-4715-aa2d-1908c495f4eb
6714191f-fe6c-4dd5-adcc-8c3aaec9d1f7,8c1494a5-4987-4715-aa2d-1908c495f4eb
6d3ba9dd-26d8-4e9a-9af5-23fc78fdb3ec,8c1494a5-4987-4715-aa2d-1908c495f4eb
6e90b40b-130a-44e2-81c3-b4741fdd1416,8c1494a5-4987-4715-aa2d-1908c495f4eb
731f164e-9c76-4ddf-b758-8e8049c1ad09,8c1494a5-4987-4715-aa2d-1908c495f4eb
732dfd52-a8cd-4658-a9a4-3a530d26f312,8c1494a5-4987-4715-aa2d-1908c495f4eb
73d95516-95cc-42b9-aea8-2d2f48c51cc2,8c1494a5-4987-4715-aa2d-1908c495f4eb
74fc258c-9fdc-42c4-8721-c60ef474bdb4,8c1494a5-4987-4715-aa2d-1908c495f4eb
754c0663-5878-4a2d-999f-78ca934fde6c,8c1494a5-4987-4715-aa2d-1908c495f4eb
78fb6311-8b3f-4954-92c8-d4f4da2a80ec,8c1494a5-4987-4715-aa2d-1908c495f4eb
7d022b09-ca3f-4596-88f4-22bebf78527d,8c1494a5-4987-4715-aa2d-1908c495f4eb
7db6dcbf-b8da-4677-a6db-298366ecee78,8c1494a5-4987-4715-aa2d-1908c495f4eb
